provinsi,jml
Aceh,97
Sumatera Utara,688
Sumatera Barat,517
Riau,18
Jambi,74
Sumatera Selatan,67
Bengkulu,3
Lampung,8
Kepulauan Bangka Belitung,1
Kepulauan Riau,574
DKI Jakarta,877
Jawa Barat,677
Jawa Tengah,789
DI Yogyakarta,966
Jawa Timur,222
Banten,20
Bali,62
Nusa Tenggara Barat,65
Nusa Tenggara Timur,60
Kalimantan Barat,87
Kalimantan Tengah,370
Kalimantan Selatan,96
Kalimantan Timur,14
Kalimantan Utara,9
Sulawesi Utara,407
Sulawesi Tengah,55
Sulawesi Selatan,27
Sulawesi Tenggara,66
Gorontalo,1
Sulawesi Barat,7
Maluku,10
Maluku Utara,4
Papua,1
Papua Barat,5
